ID,Experience_Years,Experience_Level,Age,Age Group,Gender,Salary
1,5,0-5,28,19-29,Female,250000
2,1,0-5,21,19-29,Male,50000
3,3,0-5,23,19-29,Female,170000
4,2,0-5,22,19-29,Male,25000
5,1,15+,17,under 18,Male,10000
6,25,15+,62,Above 60,Male,5001000
7,19,0-5,54,50-59,Female,800000
8,2,10-15,21,19-29,Female,9000
9,10,15+,36,30-39,Female,61500
10,15,0-5,54,50-59,Female,650000
11,4,5-10,26,19-29,Female,250000
12,6,10-15,29,19-29,Male,1400000
13,14,10-15,39,30-39,Male,6000050
14,11,0-5,40,40-49,Male,220100
15,2,0-5,23,19-29,Male,7500
16,4,10-15,27,19-29,Female,87000
17,10,15+,34,30-39,Female,930000
18,15,0-5,54,50-59,Female,7900000
19,2,10-15,21,19-29,Male,15000
20,10,15+,36,30-39,Male,330000
21,15,0-5,54,50-59,Male,6570000
22,4,5-10,26,19-29,Male,25000
23,5,0-5,29,19-29,Male,6845000
24,1,0-5,21,19-29,Female,6000
25,4,0-5,23,19-29,Female,8900
26,3,0-5,22,19-29,Female,20000
27,1,15+,18,under 18,Male,3000
28,27,15+,62,Above 60,Female,10000000
29,19,0-5,54,50-59,Female,5000000
30,2,10-15,21,19-29,Female,6100
31,10,15+,34,30-39,Male,80000
32,15,15+,54,50-59,Male,900000
33,20,15+,55,50-59,Female,1540000
34,19,15+,53,50-59,Female,9300000
35,16,0-5,49,40-49,Male,7600000
